,distance,cab_type,time_stamp,destination,source,price,surge_multiplier,id,product_id,name,date,location,temp,clouds,pressure,rain,humidity,wind
28,2.48,Uber,1544697611531,South Station,Beacon Hill,8.5,1.0,4149295f-4534-4712-b2cf-160308528c75,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,November 28 2018,Beacon Hill,39.1,0.83,996.11,,0.67,10.59
29,2.48,Uber,1545085512519,South Station,Beacon Hill,7.0,1.0,80d2a972-2686-4edc-bc22-ddccdf211fde,997acbb5-e102-41e1-b155-9df7de0a73f2,UberPool,November 28 2018,Beacon Hill,39.56,0.83,996.07,,0.66,10.79
30,2.48,Uber,1544817908118,South Station,Beacon Hill,27.5,1.0,8674e79f-4c5b-4a2e-8327-a68997d5d740,6d318bcc-22a3-4af6-bddd-b409bfce1546,Black SUV,November 28 2018,Beacon Hill,39.18,0.83,996.07,,0.66,10.73
31,2.48,Uber,1543794776318,South Station,Beacon Hill,,1.0,eee70d94-6706-4b95-a8ce-0e34f0fa8f37,8cf7e821-f0d3-49c6-8eba-e679c0ebcf6a,Taxi,November 28 2018,Beacon Hill,39.21,0.82,996.07,,0.66,10.75
32,3.24,Lyft,1543289422292,Northeastern University,North Station,3.5,1.0,00dd58fc-fa9e-4eeb-bb6e-dfeb94611e85,lyft_line,Shared,November 28 2018,North Station,39.1,0.83,996.1,,0.67,10.66
33,3.24,Lyft,1543774987499,Northeastern University,North Station,11.0,1.0,174b960d-58f1-4dfd-8672-8b43f13726a7,lyft,Lyft,November 28 2018,North Station,39.54,0.83,996.08,,0.66,10.8
34,3.24,Lyft,1544816705598,Northeastern University,North Station,19.5,1.0,1d34b421-4ee7-4ec5-bba5-265f43b91a4e,lyft_premier,Lux,November 28 2018,North Station,39.1,0.83,996.08,,0.67,10.75
35,3.24,Lyft,1543743182105,Northeastern University,North Station,26.0,1.0,72fb8672-a823-447e-ae15-fd51aef9db66,lyft_lux,Lux Black,November 28 2018,North Station,39.1,0.83,996.07,,0.67,10.69
36,3.24,Lyft,1544747410816,Northeastern University,North Station,16.5,1.0,e61386a3-b205-49b4-b064-990b124ecfa2,lyft_plus,Lyft XL,December 14 2018,North Station,27.27,0.15,1033.4,,0.8,2.96
37,2.94,Uber,1543638777654,Fenway,North Station,29.5,1.0,39f120bf-ddc0-4d27-8ab4-bb7d46ecf8e3,6d318bcc-22a3-4af6-bddd-b409bfce1546,Black SUV,December 14 2018,North Station,27.27,0.15,1033.4,,0.81,2.99
38,2.94,Uber,1543414987719,Fenway,North Station,9.5,1.0,4d36b792-8973-4dd2-aaf9-aacaac046bd5,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV,December 14 2018,North Station,27.07,0.15,1033.4,,0.8,2.84
39,2.94,Uber,1543739576844,Fenway,North Station,15.0,1.0,53bc8bc7-0b27-4648-9742-d7956d2a13a8,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL,December 14 2018,North Station,26.88,0.15,1033.4,,0.81,2.88
40,2.94,Uber,1543523885298,Fenway,North Station,,1.0,7f47ff53-7cf2-4a6a-8049-83c90e042593,8cf7e821-f0d3-49c6-8eba-e679c0ebcf6a,Taxi,December 14 2018,North Station,27.26,0.15,1033.4,,0.81,3.07
41,2.94,Uber,1544789105468,Fenway,North Station,9.5,1.0,c05d4e09-3f00-43cf-a0d8-6f38c0f4d04a,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,December 14 2018,North Station,27.34,0.15,1033.4,,0.81,3.04
42,2.94,Uber,1543286002090,Fenway,North Station,22.0,1.0,c7d4bb19-3c35-46c7-ad3c-f00a03ccfdfe,6c84fd89-3f11-4782-9b50-97c468b19529,Black,December 14 2018,North Station,27.43,0.15,1033.4,,0.81,3.05
43,2.94,Uber,1544856310163,Fenway,North Station,9.0,1.0,d25c46f2-b8a3-454d-97d1-4e2c8e1dff68,997acbb5-e102-41e1-b155-9df7de0a73f2,UberPool,December 14 2018,North Station,27.22,0.15,1033.4,,0.81,3.01
44,1.76,Lyft,1543400227398,South Station,North Station,5.0,1.0,0c26c153-a58d-419d-b557-37cfad67585c,lyft_line,Shared,December 14 2018,North Station,26.93,0.16,1033.4,,0.81,2.94
45,1.76,Lyft,1544963414097,South Station,North Station,9.0,1.0,104ced5c-1c1b-4021-94bb-b21af453399a,lyft,Lyft,December 14 2018,North Station,27.17,0.15,1033.4,,0.81,3.07
46,1.76,Lyft,1544920811287,South Station,North Station,16.5,1.0,1cf8a0a5-d871-41ba-91c7-53658851501e,lyft_premier,Lux,December 14 2018,North Station,27.03,0.15,1033.4,,0.82,3.03
47,1.76,Lyft,1544883309320,South Station,North Station,26.0,1.0,5e990c7a-8f5c-4583-812c-b6200dd018f6,lyft_luxsuv,Lux Black XL,November 26 2018,North Station,45.49,1.0,1012.46,,0.86,6.47
48,1.76,Lyft,1543312822029,South Station,North Station,13.5,1.0,bd1d5b1a-ed7f-4fc8-8fd1-9236a5de403e,lyft_plus,Lyft XL,November 26 2018,North Station,45.42,1.0,1012.47,,0.86,6.48
49,1.76,Lyft,1543421288000,South Station,North Station,19.5,1.0,c7a2284b-2f7b-49a8-8d5b-90e1ebe18a1f,lyft_lux,Lux Black,November 26 2018,North Station,45.55,1.0,1012.46,,0.85,6.43
50,0.71,Lyft,1543666982457,West End,Haymarket Square,7.0,1.0,2e0059db-945e-4615-9f87-46b8966d62f2,lyft,Lyft,November 26 2018,Haymarket Square,45.64,1.0,1012.46,,0.85,6.44
51,0.71,Lyft,1543243090567,West End,Haymarket Square,9.0,1.0,77667337-1484-497d-a0d2-2844126c2517,lyft_plus,Lyft XL,November 26 2018,Haymarket Square,45.54,1.0,1012.47,,0.85,6.5
52,0.71,Lyft,1543718284659,West End,Haymarket Square,10.5,1.0,c03b25ba-1d74-4522-8f3b-feb4bebcb4c7,lyft_premier,Lux,November 26 2018,Haymarket Square,45.42,1.0,1012.47,,0.86,6.5
53,0.71,Lyft,1543514583808,West End,Haymarket Square,3.0,1.0,fa00bcf3-78f7-4b62-b133-c3190a85edab,lyft_line,Shared,November 26 2018,Haymarket Square,45.43,1.0,1012.47,,0.86,6.51
54,1.23,Lyft,1543823577493,Theatre District,Haymarket Square,5.0,1.0,33d90ba7-60f5-4da1-afc3-39d4d038f7ec,lyft_line,Shared,November 26 2018,Haymarket Square,45.47,1.0,1012.47,,0.86,6.5
55,1.23,Lyft,1543236069468,Theatre District,Haymarket Square,13.5,1.0,6c936f6d-c587-49ae-bb39-5aeb54eff756,lyft_premier,Lux,November 26 2018,Haymarket Square,45.69,1.0,1012.46,,0.85,6.46
56,1.23,Lyft,1543807082043,Theatre District,Haymarket Square,11.0,1.0,8b905a5a-c626-42a6-b23b-eae7c7b689a3,lyft_plus,Lyft XL,November 26 2018,Haymarket Square,45.61,1.0,1012.47,,0.85,6.5
57,1.23,Lyft,1543446220644,Theatre District,Haymarket Square,26.0,1.0,c8c093f0-960b-4668-b1f6-1e42dcf6bd6b,lyft_luxsuv,Lux Black XL,November 26 2018,Haymarket Square,45.55,1.0,1012.47,,0.85,6.49
58,1.23,Lyft,1543282941895,Theatre District,Haymarket Square,16.5,1.0,ee029d73-c9ad-463d-a15e-ba20fac8c292,lyft_lux,Lux Black,November 26 2018,Haymarket Square,45.46,1.0,1012.47,,0.86,6.49
59,1.23,Lyft,1543852985839,Theatre District,Haymarket Square,7.0,1.0,f76a05b7-60a7-4df5-94b9-de16881691ca,lyft,Lyft,December 03 2018,Haymarket Square,45.52,0.89,1000.08,,0.95,1.39
60,1.16,Uber,1544731816318,West End,North End,,1.0,43abdbe4-ab9e-4f39-afdc-31cfa375dc25,8cf7e821-f0d3-49c6-8eba-e679c0ebcf6a,Taxi,December 15 2018,North End,45.98,0.99,1021.67,,0.9,5.58
61,1.16,Uber,1544688606983,West End,North End,9.5,1.0,5e1deff9-8f75-4e77-a1b1-7f6749e4eed3,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV,December 15 2018,North End,45.98,0.99,1021.65,,0.9,5.64
62,1.16,Uber,1543445408141,West End,North End,16.5,1.0,a6d2d9af-e412-4ec0-8206-88e272b5a14e,6c84fd89-3f11-4782-9b50-97c468b19529,Black,December 15 2018,North End,46.11,0.99,1021.67,,0.89,5.51
63,1.16,Uber,1544859906968,West End,North End,7.0,1.0,c53e48e4-a7b6-43e9-b4f4-afadc78dc2aa,997acbb5-e102-41e1-b155-9df7de0a73f2,UberPool,December 15 2018,North End,46.83,0.99,1021.65,,0.87,5.68
64,1.16,Uber,1543325422263,West End,North End,9.5,1.0,c9dee6ef-eca0-43ba-9bf9-ec00a6638164,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,December 15 2018,North End,45.94,0.99,1021.65,,0.9,5.69
65,1.16,Uber,1543428487883,West End,North End,27.5,1.0,e209499c-d217-4ea8-b72a-8a879646b29a,6d318bcc-22a3-4af6-bddd-b409bfce1546,Black SUV,December 15 2018,North End,45.97,0.99,1021.64,,0.9,5.7
66,1.16,Uber,1543474677639,West End,North End,13.0,1.0,fc3205bd-3419-40db-b00f-ddced9beff33,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL,December 15 2018,North End,45.86,0.99,1021.64,,0.9,5.68
67,2.67,Uber,1545130211033,Beacon Hill,North End,9.5,1.0,26cd4b22-179f-48db-a03f-2cc8c87d624e,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV,December 15 2018,North End,45.65,0.99,1021.68,,0.91,5.53
68,2.67,Uber,1543286541956,Beacon Hill,North End,9.5,1.0,5ed9f6ab-4582-45c6-a1de-5602e911c3bb,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,December 15 2018,North End,45.68,0.99,1021.66,,0.91,5.64
69,2.67,Uber,1543583283653,Beacon Hill,North End,,1.0,80db1c49-9d51-4575-a4f4-1ec23b4d3e31,8cf7e821-f0d3-49c6-8eba-e679c0ebcf6a,Taxi,December 15 2018,North End,45.78,0.99,1021.65,,0.91,5.66
70,1.16,Lyft,1543831981297,Beacon Hill,Haymarket Square,7.0,1.0,09740fbe-a03b-48df-a25a-6a01d4fc30e7,lyft,Lyft,December 14 2018,Haymarket Square,44.34,0.19,1029.99,,0.61,3.39
71,1.16,Lyft,1543820582501,Beacon Hill,Haymarket Square,13.5,1.0,2ff1a200-7c68-4813-9141-af7eeb93b37d,lyft_plus,Lyft XL,December 14 2018,Haymarket Square,44.18,0.19,1029.99,,0.61,3.39
72,1.16,Lyft,1543603386099,Beacon Hill,Haymarket Square,26.0,1.0,395294c8-4b2b-4cde-aaf9-3ac478cfddc3,lyft_luxsuv,Lux Black XL,December 14 2018,Haymarket Square,44.25,0.2,1029.98,,0.61,3.38
73,1.16,Lyft,1543786383705,Beacon Hill,Haymarket Square,13.5,1.0,59481bfd-d72d-4d6d-af73-8006fc872948,lyft_premier,Lux,December 14 2018,Haymarket Square,44.53,0.2,1029.98,,0.61,3.38
74,1.16,Lyft,1545036606996,Beacon Hill,Haymarket Square,5.0,1.0,aa1f01a1-f54a-4978-b266-a14f877baad1,lyft_line,Shared,December 14 2018,Haymarket Square,44.55,0.18,1030.0,,0.6,3.4
75,1.16,Lyft,1543410387439,Beacon Hill,Haymarket Square,16.5,1.0,b4d6e3a6-8fce-4863-9674-e3abb49c53db,lyft_lux,Lux Black,December 14 2018,Haymarket Square,44.37,0.19,1030.0,,0.61,3.4
76,3.39,Uber,1543784280319,North Station,Boston University,9.5,1.0,0617e9b6-45f9-4f45-aa2b-5d06da008088,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV,December 14 2018,Boston University,44.37,0.18,1030.0,,0.61,3.4
77,3.39,Uber,1544879104960,North Station,Boston University,9.5,1.0,37b99b0e-d2a9-4aa6-b145-54de1c8793eb,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,December 14 2018,Boston University,44.44,0.19,1029.99,,0.61,3.39
78,3.39,Uber,1543478885039,North Station,Boston University,17.0,1.0,433900c1-12d0-4771-85ea-1e1f1a4a6d63,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL,December 14 2018,Boston University,44.47,0.19,1029.99,,0.61,3.39
79,3.39,Uber,1543360883633,North Station,Boston University,10.0,1.0,76ec209b-45a1-47e7-9eda-bc3a22402b8e,997acbb5-e102-41e1-b155-9df7de0a73f2,UberPool,December 14 2018,Boston University,44.41,0.19,1029.99,,0.61,3.39
80,3.39,Uber,1545002712654,North Station,Boston University,34.0,1.0,a841f68a-a00f-456a-a3f2-2a4f2f2917d6,6d318bcc-22a3-4af6-bddd-b409bfce1546,Black SUV,December 17 2018,Boston University,40.01,0.95,1000.9,,0.81,6.46
81,3.39,Uber,1544703016070,North Station,Boston University,26.0,1.0,aaf17c52-066b-4449-abac-274132b8ffbf,6c84fd89-3f11-4782-9b50-97c468b19529,Black,December 17 2018,Boston University,39.78,0.95,1000.89,,0.81,6.44
82,3.39,Uber,1543775279908,North Station,Boston University,,1.0,c0bffbdc-9f15-4822-bda5-77d293a8d77e,8cf7e821-f0d3-49c6-8eba-e679c0ebcf6a,Taxi,December 17 2018,Boston University,40.15,0.94,1000.91,,0.8,6.44
83,3.39,Uber,1545081006772,North Station,Boston University,18.5,1.0,2effa2c2-6728-4274-b904-199a9fc830c4,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL,December 17 2018,Boston University,40.27,0.94,1000.91,,0.8,6.47
84,3.39,Uber,1543542780768,North Station,Boston University,11.0,1.0,5ef55ad4-49da-4698-8d41-21f89d107085,997acbb5-e102-41e1-b155-9df7de0a73f2,UberPool,December 17 2018,Boston University,39.89,0.96,1000.89,,0.81,6.46
85,3.39,Uber,1543588980832,North Station,Boston University,11.0,1.0,67f791f9-5bf4-4490-9358-95ffda17e5ea,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,December 17 2018,Boston University,39.85,0.95,1000.89,,0.81,6.43
86,3.39,Uber,1544684707241,North Station,Boston University,,1.0,6af89d7d-7c7e-45fe-98c4-3dc432bb29b4,8cf7e821-f0d3-49c6-8eba-e679c0ebcf6a,Taxi,December 17 2018,Boston University,39.82,0.96,1000.89,,0.81,6.43
87,3.39,Uber,1544832605200,North Station,Boston University,11.0,1.0,806fc0cf-814d-48aa-abe7-47d0eedf47d4,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV,December 17 2018,Boston University,39.92,0.95,1000.89,,0.81,6.42
88,3.39,Uber,1543532587413,North Station,Boston University,36.0,1.0,bcb04ae7-e199-495f-a22e-4f24dcf9088c,6d318bcc-22a3-4af6-bddd-b409bfce1546,Black SUV,December 17 2018,Boston University,40.17,0.94,1000.91,,0.8,6.49
89,3.39,Uber,1545036611905,North Station,Boston University,27.5,1.0,ef16279b-5893-4ea1-bf62-0548a6a541e7,6c84fd89-3f11-4782-9b50-97c468b19529,Black,December 17 2018,Boston University,39.9,0.95,1000.9,,0.81,6.47
90,2.82,Lyft,1543542476058,West End,Fenway,22.5,1.0,60f7fd10-aa55-42a8-9b19-2f8bb457459b,lyft_lux,Lux Black,December 17 2018,Fenway,39.92,0.95,1000.9,,0.81,6.46
91,2.82,Lyft,1545134405195,West End,Fenway,16.5,1.0,7827cd75-7987-4f1b-a012-ab92c820c6c4,lyft_plus,Lyft XL,December 17 2018,Fenway,39.56,0.95,1000.87,,0.81,6.49
92,2.82,Lyft,1543398374702,West End,Fenway,10.5,1.0,ea5d697f-425a-421c-a680-20bc8b36384e,lyft,Lyft,November 28 2018,Fenway,38.59,0.75,996.83,,0.69,11.01
93,2.82,Lyft,1543280961891,West End,Fenway,32.5,1.0,fbe5b6f4-7771-4fed-93d9-350febdc20c2,lyft_luxsuv,Lux Black XL,November 28 2018,Fenway,38.55,0.75,996.82,,0.69,11.05
94,2.82,Lyft,1544982903563,West End,Fenway,19.5,1.0,fbe75666-8d95-404f-a2d2-56c1f94eb99a,lyft_premier,Lux,November 28 2018,Fenway,38.62,0.74,996.85,,0.69,10.84
95,2.82,Lyft,1544685910496,West End,Fenway,7.0,1.0,ff49381b-9947-4a40-b100-ca58020e0dbe,lyft_line,Shared,November 28 2018,Fenway,38.35,0.75,996.86,,0.7,10.9
96,2.49,Uber,1544812509357,Back Bay,South Station,25.0,1.0,118a8165-c787-4761-89e5-a17aa5710c75,6c84fd89-3f11-4782-9b50-97c468b19529,Black,November 28 2018,South Station,38.0,0.76,996.81,,0.71,11.17
97,2.49,Uber,1544952912418,Back Bay,South Station,12.0,1.0,14fd1233-8cea-4061-a66a-9a5ecec07f66,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,November 28 2018,South Station,38.52,0.75,996.8,,0.69,11.11
98,2.49,Uber,1545102903559,Back Bay,South Station,12.0,1.0,2a98223c-db41-4d28-9f8a-f26775b12fd4,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV,November 28 2018,South Station,38.55,0.75,996.8,,0.69,11.13
99,2.49,Uber,1543440907964,Back Bay,South Station,18.5,1.0,3a2929f1-2310-4c96-8eeb-ca2ed3ad9915,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL,November 28 2018,South Station,38.44,0.75,996.8,,0.69,11.07
100,2.49,Uber,1543443967576,Back Bay,South Station,,1.0,42dd31b8-d488-4de6-8dd1-544d6f943149,8cf7e821-f0d3-49c6-8eba-e679c0ebcf6a,Taxi,November 28 2018,South Station,38.32,0.75,996.85,,0.7,10.99
101,2.49,Uber,1543321642195,Back Bay,South Station,32.5,1.0,c1463da2-43e9-4e83-a52f-eb4fbe9d85e6,6d318bcc-22a3-4af6-bddd-b409bfce1546,Black SUV,November 28 2018,South Station,37.94,0.76,996.81,,0.71,11.19
102,2.49,Uber,1543860176100,Back Bay,South Station,11.0,1.0,e5face72-4e1e-499e-89db-6a136e11f7f5,997acbb5-e102-41e1-b155-9df7de0a73f2,UberPool,November 28 2018,South Station,38.35,0.76,996.82,,0.7,11.12
103,3.07,Uber,1543658284716,North Station,Fenway,27.0,1.0,08a28a48-eec5-43f8-b81d-bc2f57fc7f9a,6c84fd89-3f11-4782-9b50-97c468b19529,Black,November 28 2018,Fenway,38.39,0.75,996.81,,0.69,11.06
104,3.07,Uber,1543458860117,North Station,Fenway,12.0,1.0,1f384d44-39fa-4537-b6a9-e97c0420fc48,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,December 17 2018,Fenway,36.33,0.29,1001.77,,0.69,10.03
105,3.07,Uber,1543824176271,North Station,Fenway,18.5,1.0,408076ed-a826-4fb3-a602-f9940df0ae50,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL,December 17 2018,Fenway,37.0,0.29,1001.76,,0.67,10.1
106,3.07,Uber,1543336943649,North Station,Fenway,,1.0,4b22b1b6-5d22-476c-bcf9-571afb6b5a4b,8cf7e821-f0d3-49c6-8eba-e679c0ebcf6a,Taxi,December 17 2018,Fenway,36.16,0.29,1001.85,,0.7,10.01
107,3.07,Uber,1543883878694,North Station,Fenway,12.0,1.0,6fad93ae-e127-4e63-92e8-aca70075a4ae,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV,December 01 2018,Fenway,36.78,0.42,1023.64,,0.76,2.47
108,3.07,Uber,1545126008048,North Station,Fenway,8.5,1.0,c8e81408-c663-41b0-97d8-01de32dddefd,997acbb5-e102-41e1-b155-9df7de0a73f2,UberPool,December 01 2018,Fenway,36.74,0.44,1023.65,,0.76,2.43
109,3.07,Uber,1544841003919,North Station,Fenway,35.0,1.0,f5f46cb2-dc51-4ed7-bd0e-14469d2da879,6d318bcc-22a3-4af6-bddd-b409bfce1546,Black SUV,December 01 2018,Fenway,36.65,0.44,1023.64,,0.76,2.43
110,1.57,Uber,1543243809625,North End,Theatre District,8.0,1.0,8cfbdbf9-4aa0-453b-ae4e-2fd9b4a90ffa,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV,December 01 2018,Theatre District,35.54,0.4,1023.64,,0.8,2.52
111,1.57,Uber,1544711408474,North End,Theatre District,,1.0,974fd7df-31d1-4f61-9aad-5c3b853a4368,8cf7e821-f0d3-49c6-8eba-e679c0ebcf6a,Taxi,December 01 2018,Theatre District,36.78,0.4,1023.64,,0.76,2.52
112,1.57,Uber,1544409662798,North End,Theatre District,13.0,1.0,a385d39d-6add-45e7-8144-d208173f5528,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL,December 01 2018,Theatre District,36.82,0.4,1023.64,,0.76,2.53
113,1.57,Uber,1543734183117,North End,Theatre District,8.0,1.0,a9448a0b-977b-47c4-b886-b9ff39e6983c,997acbb5-e102-41e1-b155-9df7de0a73f2,UberPool,December 01 2018,Theatre District,36.74,0.4,1023.64,,0.76,2.51
114,1.57,Uber,1543873079177,North End,Theatre District,27.0,1.0,ae1e0b34-e9aa-4d7f-9b5f-228d966cb911,6d318bcc-22a3-4af6-bddd-b409bfce1546,Black SUV,December 01 2018,Theatre District,36.68,0.43,1023.64,,0.76,2.45
